sep=,
DeviceTag:,Xsens DOT
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
StartTime: ,2025-03-06_12:21:16_000 PST
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
0,699806679,-0.85929811000824,-0.60944539308548,8.54746150970459,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000
1,699815012,-0.85946768522263,-0.60866069793701,8.54758358001709,0.08589133620262,-0.16655394434929,9.78423786163330,0.21490341424942,-0.98972129821777,-0.79797303676605
2,699823345,-0.85944247245789,-0.60841262340546,8.54812812805176,0.09180681407452,-0.17718337476254,9.77049732208252,0.24435980618000,-1.05846989154816,-0.82566213607788
3,699831678,-0.85909211635590,-0.60850340127945,8.54798030853271,0.10136999934912,-0.16542349755764,9.79305076599121,0.27883654832840,-1.09532856941223,-0.83314132690430
4,699840011,-0.85927289724350,-0.60869443416595,8.54830837249756,0.09025464206934,-0.16534544527531,9.77039051055908,0.21848942339420,-1.11028742790222,-0.87901645898819
5,699848344,-0.85830312967300,-0.60814994573593,8.54752731323242,0.09649900346994,-0.14239165186882,9.78121185302734,0.35096624493599,-1.01764070987701,-0.90560400485992
6,699856677,-0.85779345035553,-0.60865604877472,8.54785728454590,0.09582664072514,-0.14998081326485,9.79037475585938,0.30265781283379,-1.14909303188324,-0.83544665575027
7,699865010,-0.85894125699997,-0.60912436246872,8.54809951782227,0.10217124223709,-0.14724874496460,9.79347991943359,0.09825620800257,-1.14081954956055,-0.78490984439850
8,699873343,-0.85918736457825,-0.60889869928360,8.54849910736084,0.11913774907589,-0.14379359781742,9.77875137329102,0.21159918606281,-1.06018590927124,-0.83444768190384
9,699881676,-0.85929882526398,-0.60814374685287,8.54784107208252,0.08152095228434,-0.15385049581528,9.78278636932373,0.22256207466125,-0.99261558055878,-0.89169549942017
10,699890009,-0.85983371734619,-0.60891008377075,8.54835128784180,0.09537600725889,-0.15364307165146,9.75446796417236,0.17676383256912,-1.17983007431030,-0.83088731765747
11,699898342,-0.85960239171982,-0.60921120643616,8.54830932617188,0.09605553001165,-0.15690475702286,9.78767871856689,0.26439011096954,-1.12122476100922,-0.81841319799423
12,699906675,-0.85923755168915,-0.60949093103409,8.54921245574951,0.11418806761503,-0.15558893978596,9.79229927062988,0.28477907180786,-1.12132716178894,-0.78624182939529
13,699915008,-0.85872781276703,-0.60953056812286,8.54922294616699,0.09546175599098,-0.16379266977310,9.78400230407715,0.29717636108398,-1.09012901782990,-0.81119006872177
14,699923341,-0.85848319530487,-0.60994350910187,8.55023193359375,0.10766459256411,-0.16857105493546,9.78477478027344,0.27104982733727,-1.13733601570129,-0.78608804941177
15,699931674,-0.85885310173035,-0.61006009578705,8.55050945281982,0.10639144480228,-0.15454462170601,9.78662681579590,0.19264464080334,-1.09952926635742,-0.78047853708267
16,699940007,-0.85858148336411,-0.61057686805725,8.55112743377686,0.08900282531977,-0.17251941561699,9.78986740112305,0.27194631099701,-1.15027117729187,-0.81206089258194
17,699948340,-0.85885059833527,-0.61009031534195,8.55135822296143,0.07893162220716,-0.15145429968834,9.76958179473877,0.20463210344315,-1.02637517452240,-0.78539639711380
18,699956673,-0.85880583524704,-0.60951095819473,8.55189323425293,0.11483173817396,-0.15223395824432,9.79187679290771,0.24710050225258,-1.01851165294647,-0.81702995300293
19,699965006,-0.85887414216995,-0.60987031459808,8.55244064331055,0.09210722148418,-0.15159048140049,9.77523994445801,0.22876073420048,-1.12872970104218,-0.74922913312912
20,699973339,-0.85900592803955,-0.61009073257446,8.55263805389404,0.08775115013123,-0.14003153145313,9.78996753692627,0.22489297389984,-1.11297690868378,-0.87489259243011
21,699981672,-0.85921937227249,-0.60979264974594,8.55283069610596,0.09394550323486,-0.16755563020706,9.77775764465332,0.21090762317181,-1.05024766921997,-0.79080110788345
22,699990005,-0.85961669683456,-0.60966426134109,8.55324840545654,0.07888870686293,-0.17782682180405,9.78252124786377,0.19290079176426,-1.07155871391296,-0.84379690885544
23,699998338,-0.85946428775787,-0.60948294401169,8.55254650115967,0.10099805891514,-0.15314920246601,9.77659225463867,0.25365775823593,-1.06087756156921,-0.89745867252350
24,700006671,-0.85975974798203,-0.61070728302002,8.55335235595703,0.07206489145756,-0.16714048385620,9.77813625335693,0.20591281354427,-1.23525929450989,-0.80496573448181
25,700015004,-0.85980230569839,-0.61060541868210,8.55369472503662,0.09299410879612,-0.17243358492851,9.77171325683594,0.23178319633007,-1.07263445854187,-0.77374196052551
26,700023337,-0.86011242866516,-0.61089271306992,8.55395698547363,0.09426731616259,-0.15711934864521,9.80750656127930,0.20209631323814,-1.12201869487762,-0.86433953046799
27,700031670,-0.85986167192459,-0.61039465665817,8.55377197265625,0.09450335800648,-0.15089637041092,9.78354454040527,0.26754063367844,-1.02419793605804,-0.83606135845184
28,700040003,-0.86011826992035,-0.61030489206314,8.55470466613770,0.08429631590843,-0.15641149878502,9.77420997619629,0.21075391769409,-1.07888436317444,-0.78867512941360
29,700048336,-0.85949617624283,-0.61082166433334,8.55408096313477,0.09887374937534,-0.14691224694252,9.77795028686523,0.30903571844101,-1.14455926418304,-0.88967198133469
30,700056669,-0.85921233892441,-0.61089289188385,8.55465507507324,0.09206432849169,-0.17234806716442,9.79921627044678,0.27522495388985,-1.09619963169098,-0.83206558227539
31,700065002,-0.85955828428268,-0.61009883880615,8.55507469177246,0.08413889259100,-0.15297785401344,9.79297161102295,0.19538538157940,-0.98966997861862,-0.76195943355560
32,700073335,-0.85927611589432,-0.61009067296982,8.55516529083252,0.10589068382978,-0.16406476497650,9.79665565490723,0.27425163984299,-1.08661985397339,-0.89036369323730
33,700081668,-0.85892969369888,-0.60976439714432,8.55494785308838,0.09334468841553,-0.13764245808125,9.77478218078613,0.27817061543465,-1.04494547843933,-0.83908390998840
34,700090001,-0.85908281803131,-0.60992592573166,8.55489158630371,0.10413108766079,-0.15608933568001,9.76718521118164,0.22133259475231,-1.10700881481171,-0.89315551519394
35,700098334,-0.85899263620377,-0.60966247320175,8.55432033538818,0.10310100018978,-0.16258381307125,9.77515411376953,0.24712608754635,-1.05083680152893,-0.88242316246033
36,700106667,-0.85880208015442,-0.60948419570923,8.55569362640381,0.11081176996231,-0.16018052399158,9.77724266052246,0.26482555270195,-1.06958627700806,-0.70816951990128
37,700115000,-0.85918700695038,-0.60919743776321,8.55560111999512,0.08866658061743,-0.15712621808052,9.77428150177002,0.18990394473076,-1.04935121536255,-0.82486802339554
38,700123333,-0.85874307155609,-0.60902994871140,8.55698204040527,0.10544013977051,-0.16983020305634,9.76734256744385,0.29466617107391,-1.06871545314789,-0.71610999107361
39,700131666,-0.85879009962082,-0.60934698581696,8.55753517150879,0.08052676916122,-0.16552421450615,9.80348587036133,0.23170635104179,-1.12445199489594,-0.74769234657288
40,700139999,-0.85903066396713,-0.60976195335388,8.55811977386475,0.10223558545113,-0.15046004951000,9.77606201171875,0.21190655231476,-1.13805317878723,-0.81654334068298
41,700148332,-0.85842007398605,-0.61012327671051,8.55790805816650,0.11889455467463,-0.16521637141705,9.78948783874512,0.31067505478859,-1.12680852413177,-0.84005731344223
42,700156665,-0.85808247327805,-0.61014693975449,8.55808067321777,0.09789381176233,-0.15394347906113,9.80599021911621,0.28014290332794,-1.09123051166534,-0.87268984317780
43,700164998,-0.85856699943542,-0.61041086912155,8.55753993988037,0.09107714891434,-0.15525960922241,9.76026916503906,0.17727611958981,-1.11471879482269,-0.88019472360611
44,700173331,-0.85832411050797,-0.61101961135864,8.55806255340576,0.08733621239662,-0.16729784011841,9.80587577819824,0.26948738098145,-1.16010713577271,-0.84835624694824
45,700181664,-0.85885870456696,-0.61126786470413,8.55826854705811,0.09320874512196,-0.13870108127594,9.76088428497314,0.17371577024460,-1.11566650867462,-0.78964847326279
46,700189997,-0.85944062471390,-0.61193406581879,8.55882263183594,0.09345194697380,-0.17406475543976,9.78536128997803,0.16984800994396,-1.16663885116577,-0.82671231031418
47,700198330,-0.85943347215652,-0.61230796575546,8.55881404876709,0.10033293068409,-0.15347854793072,9.77084827423096,0.23752079904079,-1.13039445877075,-0.81623595952988
48,700206663,-0.85938721895218,-0.61276817321777,8.55866718292236,0.09162800014019,-0.16734111309052,9.80272102355957,0.24546121060848,-1.14212584495544,-0.90637248754501
49,700214996,-0.85972255468369,-0.61251240968704,8.55836582183838,0.08746496587992,-0.16008062660694,9.79874420166016,0.19664046168327,-1.05329573154449,-0.85109686851501
50,700223329,-0.86059099435806,-0.61261636018753,8.55932807922363,0.09571934491396,-0.16274863481522,9.78960227966309,0.13585790991783,-1.10116875171661,-0.77274304628372
51,700231662,-0.86015748977661,-0.61289322376251,8.55919075012207,0.10682779550552,-0.16888609528542,9.77553272247314,0.28941524028778,-1.11715209484100,-0.83163011074066
52,700239995,-0.86026483774185,-0.61265242099762,8.55978775024414,0.08320902287960,-0.14550313353539,9.77813625335693,0.22719827294350,-1.05972492694855,-0.82023179531097
53,700248328,-0.86038714647293,-0.61272174119949,8.55929279327393,0.08970387279987,-0.14402282238007,9.76857280731201,0.22130697965622,-1.09046196937561,-0.87345820665359
54,700256661,-0.86012876033783,-0.61281472444534,8.56080341339111,0.08262971043587,-0.15314978361130,9.76818656921387,0.27432844042778,-1.10186028480530,-0.70455795526505
55,700264994,-0.86049777269363,-0.61304217576981,8.56081581115723,0.08084142953157,-0.16784146428108,9.77056217193604,0.19123589992523,-1.11154258251190,-0.81339287757874
56,700273327,-0.86080300807953,-0.61319321393967,8.56165122985840,0.08100600540638,-0.15048180520535,9.78380870819092,0.20419666171074,-1.10754656791687,-0.79715329408646
57,700281660,-0.86103862524033,-0.61318153142929,8.56130123138428,0.10591214895248,-0.15506647527218,9.79007434844971,0.20742408931255,-1.08172762393951,-0.85698831081390
58,700289993,-0.86086910963058,-0.61287057399750,8.56173801422119,0.09199986606836,-0.14868614077568,9.77854442596436,0.26226416230202,-1.04968416690826,-0.85560518503189
59,700298326,-0.86075568199158,-0.61321395635605,8.56177902221680,0.09297987818718,-0.15263482928276,9.80229187011719,0.25012299418449,-1.12621939182281,-0.81001180410385
60,700306659,-0.86142396926880,-0.61356556415558,8.56250667572021,0.10382351279259,-0.16520206630230,9.77287960052490,0.15983282029629,-1.13044595718384,-0.79520672559738
61,700314992,-0.86158144474030,-0.61253982782364,8.56197643280029,0.09272945672274,-0.15051011741161,9.79992389678955,0.21738800406456,-0.96070039272308,-0.87438040971756
62,700323325,-0.86196225881577,-0.61227130889893,8.56242465972900,0.08048378676176,-0.15254868566990,9.77010440826416,0.19446328282356,-1.05508863925934,-0.85619419813156
63,700331658,-0.86173266172409,-0.61230605840683,8.56160926818848,0.09172090888023,-0.15839970111847,9.77299404144287,0.26326310634613,-1.08779811859131,-0.91308349370956
64,700339991,-0.86170840263367,-0.61231356859207,8.56237030029297,0.09366640448570,-0.15840657055378,9.78365898132324,0.24292539060116,-1.08874583244324,-0.80678433179855
65,700348324,-0.86100012063980,-0.61184269189835,8.56258296966553,0.09589111059904,-0.17829920351505,9.80678367614746,0.32286745309830,-1.02880847454071,-0.78818839788437
66,700356657,-0.86171102523804,-0.61093813180923,8.56395721435547,0.08301589637995,-0.17165392637253,9.78359413146973,0.15693840384483,-0.98037195205688,-0.73150414228439
67,700364990,-0.86236643791199,-0.61202770471573,8.56396961212158,0.09458209574223,-0.16358585655689,9.75334453582764,0.15678472816944,-1.21545934677124,-0.81492960453033
68,700373323,-0.86267745494843,-0.61248499155045,8.56558418273926,0.09154918044806,-0.16402158141136,9.78302288055420,0.20581038296223,-1.14489233493805,-0.69446587562561
69,700381656,-0.86268454790115,-0.61277252435684,8.56552600860596,0.10367330908775,-0.16935071349144,9.76357364654541,0.23506183922291,-1.11909878253937,-0.82120513916016
70,700389989,-0.86250251531601,-0.61353254318237,8.56574249267578,0.08112762868404,-0.15768477320671,9.78432369232178,0.26187995076180,-1.17857503890991,-0.87596833705902
71,700398322,-0.86280465126038,-0.61389899253845,8.56614303588867,0.08562674373388,-0.15028153359890,9.79327869415283,0.20078998804092,-1.12960064411163,-0.76644188165665
72,700406655,-0.86287230253220,-0.61362195014954,8.56700515747070,0.10008979588747,-0.14791391789913,9.77527523040771,0.23344810307026,-1.05547285079956,-0.78585743904114
73,700414988,-0.86365169286728,-0.61380326747894,8.56647396087646,0.10237143933773,-0.17616705596447,9.76413154602051,0.14215901494026,-1.10542070865631,-0.87665998935699
74,700423321,-0.86390215158463,-0.61379808187485,8.56726646423340,0.09795818477869,-0.15914359688759,9.75393867492676,0.21098443865776,-1.08713209629059,-0.82184559106827
75,700431654,-0.86324584484100,-0.61418312788010,8.56665611267090,0.08696426451206,-0.15568877756596,9.75764369964600,0.31385123729706,-1.12870407104492,-0.88782775402069
76,700439987,-0.86305195093155,-0.61345875263214,8.56781196594238,0.10602658987045,-0.16457976400852,9.79282855987549,0.26572206616402,-1.00250279903412,-0.75734889507294
77,700448320,-0.86306667327881,-0.61273747682571,8.56772899627686,0.11089059710503,-0.15606816112995,9.78575420379639,0.23454955220222,-0.99924963712692,-0.82174313068390
78,700456653,-0.86316001415253,-0.61243921518326,8.56872272491455,0.08076268434525,-0.16745492815971,9.78836536407471,0.22922179102898,-1.05247604846954,-0.77968448400497
79,700464986,-0.86313945055008,-0.61289036273956,8.56801414489746,0.08828753978014,-0.14844295382500,9.78566837310791,0.23931379616261,-1.13710534572601,-0.90045553445816
80,700473319,-0.86306071281433,-0.61326968669891,8.56862354278564,0.10109820961952,-0.15321359038353,9.74386119842529,0.24994370341301,-1.13410854339600,-0.81649208068848
81,700481652,-0.86257416009903,-0.61299175024033,8.56868362426758,0.08253665268421,-0.16990147531033,9.77481079101562,0.29453805088997,-1.05106723308563,-0.80711734294891
82,700489985,-0.86266243457794,-0.61346352100372,8.56916618347168,0.08984693139791,-0.17106056213379,9.75063419342041,0.23014388978481,-1.14537882804871,-0.84118425846100
83,700498318,-0.86282199621201,-0.61371648311615,8.56953716278076,0.08816593885422,-0.16436517238617,9.78714179992676,0.21761852502823,-1.11533355712891,-0.77038651704788
84,700506651,-0.86325496435165,-0.61415469646454,8.56921577453613,0.09711421281099,-0.15143319964409,9.79139041900635,0.18898183107376,-1.13830935955048,-0.93142318725586
85,700514984,-0.86273938417435,-0.61360293626785,8.56936836242676,0.10140585154295,-0.15395063161850,9.79274940490723,0.29758617281914,-1.01928007602692,-0.79441267251968
86,700523317,-0.86335438489914,-0.61309659481049,8.57040500640869,0.10400948673487,-0.15774165093899,9.76235771179199,0.16843922436237,-1.02809143066406,-0.75089412927628
87,700531650,-0.86352390050888,-0.61370885372162,8.57071399688721,0.09550476074219,-0.15018823742867,9.77212142944336,0.21631219983101,-1.15862143039703,-0.77748167514801
88,700539983,-0.86297708749771,-0.61329263448715,8.57121849060059,0.09115582704544,-0.15350000560284,9.81056022644043,0.30629497766495,-1.03805518150330,-0.84279799461365
89,700548316,-0.86329394578934,-0.61394304037094,8.57050323486328,0.10719243437052,-0.14837107062340,9.79443836212158,0.19786997139454,-1.16074752807617,-0.90063494443893
90,700556649,-0.86315363645554,-0.61357730627060,8.57074451446533,0.09828721731901,-0.16970835626125,9.78777885437012,0.25732064247131,-1.04451000690460,-0.86961609125137
91,700564982,-0.86378842592239,-0.61407661437988,8.57090091705322,0.09963915497065,-0.14426600933075,9.76099109649658,0.15952545404434,-1.14435434341431,-0.79546284675598
92,700573315,-0.86397314071655,-0.61423468589783,8.57209110260010,0.08732905983925,-0.16944369673729,9.78011798858643,0.22030802071095,-1.10790526866913,-0.75504362583160
93,700581648,-0.86471968889236,-0.61408257484436,8.57195472717285,0.09730011969805,-0.13663360476494,9.77402400970459,0.14653903245926,-1.06725537776947,-0.82983714342117
94,700589981,-0.86497426033020,-0.61398535966873,8.57201766967773,0.10019702464342,-0.17266963422298,9.76574802398682,0.20921704173088,-1.07570815086365,-0.87110167741776
95,700598314,-0.86460959911346,-0.61549425125122,8.57153511047363,0.11363016068935,-0.15216280519962,9.80120563507080,0.28119304776192,-1.26456189155579,-0.87555855512619
96,700606647,-0.86536240577698,-0.61575156450272,8.57196807861328,0.09545469284058,-0.15191923081875,9.78814315795898,0.15020187199116,-1.11779236793518,-0.84763902425766
97,700614980,-0.86533939838409,-0.61610263586044,8.57160472869873,0.08549785614014,-0.13914392888546,9.76765155792236,0.23759762942791,-1.12673175334930,-0.85780787467957
98,700623313,-0.86571437120438,-0.61622124910355,8.57304477691650,0.11875155568123,-0.16013097763062,9.76058387756348,0.19725520908833,-1.10352516174316,-0.75079160928726
99,700631646,-0.86553949117661,-0.61573958396912,8.57326507568359,0.10629124939442,-0.15212666988373,9.78405189514160,0.25875499844551,-1.02650332450867,-0.78647220134735
100,700639979,-0.86517268419266,-0.61574810743332,8.57283592224121,0.08918164670467,-0.14088238775730,9.79334354400635,0.28339588642120,-1.08751630783081,-0.93208914995193
101,700648312,-0.86471575498581,-0.61522674560547,8.57301235198975,0.10214250534773,-0.15412203967571,9.78736400604248,0.29136192798615,-1.02358329296112,-0.79139018058777
102,700656645,-0.86491233110428,-0.61506795883179,8.57370376586914,0.09313716739416,-0.16490879654884,9.79462432861328,0.21674765646458,-1.06856179237366,-0.81431490182877
103,700664978,-0.86449927091599,-0.61438846588135,8.57435131072998,0.10177779942751,-0.15480898320675,9.79593276977539,0.28721240162849,-1.00339925289154,-0.73583292961121
104,700673311,-0.86534106731415,-0.61419683694839,8.57390499114990,0.08134928345680,-0.17141787707806,9.81100368499756,0.13946950435638,-1.06418180465698,-0.93695586919785
105,700681644,-0.86590290069580,-0.61489087343216,8.57510471343994,0.08458236604929,-0.16422212123871,9.77531147003174,0.17069329321384,-1.17009663581848,-0.67120826244354
106,700689977,-0.86514818668365,-0.61519759893417,8.57608509063721,0.08652088046074,-0.14629739522934,9.75452518463135,0.33042362332344,-1.12580966949463,-0.78383398056030
107,700698310,-0.86520481109619,-0.61445653438568,8.57546234130859,0.09260070323944,-0.15678316354752,9.79703426361084,0.23045125603676,-0.99420374631882,-0.88711047172546
108,700706643,-0.86552006006241,-0.61394554376602,8.57565402984619,0.10036154091358,-0.13838605582714,9.74549770355225,0.20204509794712,-1.02663147449493,-0.88104009628296
109,700714976,-0.86546123027802,-0.61333870887756,8.57555675506592,0.08677821606398,-0.16068834066391,9.76545524597168,0.24415488541126,-1.01133966445923,-0.82443249225616
110,700723309,-0.86613094806671,-0.61403381824493,8.57631683349609,0.08556235581636,-0.16392201185226,9.76575469970703,0.15978159010410,-1.17214572429657,-0.78975093364716
111,700731642,-0.86654347181320,-0.61398988962173,8.57663249969482,0.08767949044704,-0.15941514074802,9.79827213287354,0.18767549097538,-1.08011388778687,-0.77650833129883
112,700739975,-0.86717349290848,-0.61403059959412,8.57737255096436,0.11774294823408,-0.14500959217548,9.77395915985107,0.16626198589802,-1.09351015090942,-0.78887999057770
113,700748308,-0.86776578426361,-0.61344802379608,8.57731533050537,0.11355848610401,-0.17104566097260,9.76572704315186,0.16493006050587,-1.01438784599304,-0.82064169645309
114,700756641,-0.86770522594452,-0.61354202032089,8.57899665832520,0.08957505226135,-0.16019506752491,9.77817249298096,0.24925212562084,-1.10219335556030,-0.68726837635040
115,700764974,-0.86757874488831,-0.61327964067459,8.57905960083008,0.08966796845198,-0.17060218751431,9.75897502899170,0.25237703323364,-1.05408966541290,-0.80514496564865
116,700773307,-0.86781263351440,-0.61347222328186,8.58019828796387,0.10171342641115,-0.15496633946896,9.76722812652588,0.21369956433773,-1.11146557331085,-0.75399339199066
117,700781640,-0.86739462614059,-0.61306464672089,8.57997703552246,0.10081216692924,-0.15014532208443,9.79861545562744,0.28654640913010,-1.03569865226746,-0.84000599384308
118,700789973,-0.86797881126404,-0.61308956146240,8.58061790466309,0.08827323466539,-0.15914359688759,9.80674076080322,0.17107747495174,-1.09133291244507,-0.81377702951431
119,700798306,-0.86809432506561,-0.61343181133270,8.58093643188477,0.09705685824156,-0.15638947486877,9.80021762847900,0.22297193109989,-1.12662923336029,-0.77522766590118
120,700806639,-0.86841470003128,-0.61396974325180,8.58244514465332,0.09226451814175,-0.16771270334721,9.79379463195801,0.20337702333927,-1.15367782115936,-0.72282093763351
121,700814972,-0.86860424280167,-0.61464476585388,8.58239650726318,0.10109828412533,-0.15038852393627,9.76040458679199,0.21408377587795,-1.16663861274719,-0.82035988569260
122,700823305,-0.86873084306717,-0.61471122503281,8.58318424224854,0.08375263959169,-0.16445101797581,9.76576232910156,0.22602000832558,-1.09561049938202,-0.81357216835022
123,700831638,-0.86874192953110,-0.61394816637039,8.58270740509033,0.09291543066502,-0.16138243675232,9.77620506286621,0.23447269201279,-0.99317908287048,-0.86920619010925
124,700839971,-0.86914676427841,-0.61412292718887,8.58340072631836,0.09403842687607,-0.15864290297031,9.80146217346191,0.19254219532013,-1.10905790328979,-0.79766565561295
125,700848304,-0.86975634098053,-0.61351889371872,8.58351039886475,0.07932502776384,-0.16160418093204,9.77501773834229,0.16405917704105,-1.01228737831116,-0.79979169368744
126,700856637,-0.86910516023636,-0.61337590217590,8.58447647094727,0.08346644043922,-0.16910724341869,9.75134277343750,0.31879475712776,-1.07178914546967,-0.77143669128418
127,700864970,-0.86906147003174,-0.61292362213135,8.58436870574951,0.10561180114746,-0.15047463774681,9.76048374176025,0.24149101972580,-1.03093445301056,-0.82555955648422
128,700873303,-0.86934685707092,-0.61296981573105,8.58399105072021,0.08852351456881,-0.14570307731628,9.77150630950928,0.20563106238842,-1.09146094322205,-0.93244773149490
