sep=,
DeviceTag:,Xsens DOT
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
StartTime: ,2025-02-06_09:48:19_000 PST
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
0,1016514029,-0.36168158054352,-0.12775698304176,39.73871231079102,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000
1,1016530696,-0.35602599382401,-0.13607153296471,39.75957489013672,-0.00679778726771,-0.07021534442902,9.77306365966797,0.01554050482810,-0.95731300115585,-0.87370038032532
2,1016547363,-0.36212927103043,-0.11943032592535,39.75442504882812,-0.03154806420207,-0.05078796297312,9.77401161193848,0.18277862668037,-1.01545381546021,-0.85082823038101
3,1016564030,-0.35538673400879,-0.08275861293077,39.74805068969727,-0.04875883832574,-0.06504216045141,9.77038383483887,0.09673276543617,-1.04417860507965,-0.84585946798325
4,1016580697,-0.35252374410629,-0.04136077687144,39.75227355957031,-0.05407629907131,-0.06105326116085,9.75210285186768,0.16719330847263,-1.02201080322266,-0.86312240362167
5,1016597364,-0.34931099414825,-0.00660764146596,39.74480438232422,-0.04472124949098,-0.07335752993822,9.76676082611084,0.19831271469593,-0.99739682674408,-0.87626165151596
6,1016614031,-0.34939077496529,0.01592880859971,39.73155593872070,-0.03647497296333,-0.04805807396770,9.76126670837402,0.23191656172276,-1.02195954322815,-0.90416669845581
7,1016630698,-0.34526255726814,0.02749736793339,39.71520996093750,-0.02625069767237,-0.05362592637539,9.76768207550049,0.22854854166508,-1.05557620525360,-1.00906348228455
8,1016647365,-0.33943533897400,0.03081906400621,39.70196914672852,0.01346411462873,-0.05917077884078,9.76575756072998,0.29172223806381,-1.06122374534607,-0.95587855577469
9,1016664032,-0.33477225899696,0.02331391908228,39.69387054443359,0.02569911256433,-0.06481871753931,9.75016880035400,0.24513277411461,-1.10718584060669,-0.91644811630249
10,1016680699,-0.33049789071083,0.01044708769768,39.68072128295898,0.04982963204384,-0.06513614952564,9.77480411529541,0.28264254331589,-1.01779758930206,-0.95587867498398
11,1016697366,-0.32638126611710,-0.00836575496942,39.66262817382812,0.10046359896660,-0.05403013527393,9.78285884857178,0.30665445327759,-1.02509713172913,-0.82478016614914
12,1016714033,-0.32231009006500,-0.03384696319699,39.64951324462891,0.09863983094692,-0.06605160236359,9.75447559356689,0.27854454517365,-1.02683877944946,-0.94848948717117
13,1016730700,-0.31902280449867,-0.06322120130062,39.62877273559570,0.11155663430691,-0.04140822961926,9.75072956085205,0.26060283184052,-1.05310463905334,-0.93040698766708
14,1016747367,-0.31546857953072,-0.09515657275915,39.60728836059570,0.11652877181768,-0.06722062826157,9.75987052917480,0.21881569921970,-1.06465601921082,-0.93851333856583
15,1016764034,-0.31288844347000,-0.12835682928562,39.61466979980469,0.12585867941380,-0.05376250296831,9.74331092834473,0.19094906747341,-1.06387460231781,-0.93433839082718
16,1016780701,-0.31085535883904,-0.16219149529934,39.61577987670898,0.15372112393379,-0.04667440429330,9.76785373687744,0.15244039893150,-1.06068599224091,-0.92523324489594
17,1016797368,-0.30671733617783,-0.19685289263725,39.61029052734375,0.14767798781395,-0.05436792969704,9.78069114685059,0.25731155276299,-1.04649639129639,-0.92716693878174
18,1016814035,-0.30661708116531,-0.23182620108128,39.62321853637695,0.14407944679260,-0.03374953195453,9.76235485076904,0.01388848666102,-1.05861139297485,-0.93631070852280
19,1016830702,-0.30452060699463,-0.26481872797012,39.63032913208008,0.14370651543140,-0.05645892769098,9.76601600646973,0.10247000306845,-0.95914435386658,-0.83006912469864
20,1016847369,-0.30332562327385,-0.29688227176666,39.62575912475586,0.12167824059725,-0.05632911622524,9.76430892944336,0.05886438488960,-0.93878221511841,-0.86191856861115
21,1016864036,-0.30272659659386,-0.32776737213135,39.63199996948242,0.10437528043985,-0.05168566107750,9.78362560272217,0.02867981791496,-0.93640029430389,-0.82330739498138
22,1016880703,-0.30249476432800,-0.35869613289833,39.62660598754883,0.09032963216305,-0.04166017845273,9.76630687713623,0.00748531147838,-1.02500748634338,-0.86332720518112
23,1016897370,-0.30129447579384,-0.38736596703529,39.63068771362305,0.05036595836282,-0.05281968414783,9.75745010375977,0.05444619432092,-0.98053097724915,-0.75533127784729
